CaseId,Gross Sales,Net Sales,Rejected,Receivable,Overdue receivable,Credit Score,Risk Class,Invoice Due Date,Dispute Case,Days Sales Outstanding,Collection Effectiveness Index,Accounts Receivable Turnover Rate,Average Days Delinquent,Delivered on Time,Automation Rate,Cost per 1k Revenue,FTEs per 1Bil Revenue,Credit Reviews per Credit FTE,Data Set
48,70169,0,70169,0,0,0,Not evaluated,,No,58,63,0.8136,11,No,14,2.39,36.53,81.36,Current State
49,63652,63652,0,63652,0,65,Medium,2019-01-21T11:26:53,No,58,62,0.90,11,Yes,14,2.48,37.16,69.88,Current State
50,64322,0,64322,0,0,0,Not evaluated,,No,58,56,0.5942000000000001,11,Yes,14,2.54,37.50,59.42,Current State
51,81811,81811,0,81811,0,30,High,2019-01-21T13:41:53,No,58,69.02,0.55,11,Yes,14,2.57,38.01,69.02,Current State
52,98729,0,0,0,0,0,Not evaluated,2019-01-27T04:14:17,No,58,60,0.74,11,No,14,2.54,38.29,58.19,Current State
53,14675,14675,0,14675,0,0,Not evaluated,2019-01-20T07:42:16,No,58,55.09,0.81,11,Yes,14,2.38,37.25,55.09,Current State
54,19420,19420,0,19420,0,88,Low,2019-02-06T10:14:14,No,58,62.92,1.13,11,Yes,14,2.77,37.08,62.92,Current State
55,70296,70296,0,70296,0,8,High,2019-01-21T12:33:21,No,58,59.33,0.33,11,Yes,14,2.16,36.72,59.33,Current State
56,12605,12605,0,12605,12605,90,Low,2019-01-21T08:23:10,No,58,63.38,0.6338,11,Yes,14,2.35,36.55,63.38,Current State
57,46174,0,0,0,0,0,Not evaluated,2019-01-22T02:07:08,No,58,60,0.5334,11,Yes,14,2.51,37.85,53.34,Current State
58,83025,83025,0,83025,0,78,Low,2019-01-23T20:33:05,No,58,57.15,0.5715,11,No,14,2.52,37.18,57.15,Current State
59,97445,97445,0,97445,0,52,Medium,2019-01-23T16:31:47,No,58,53.53,0.5353,11,No,14,2.73,36.84,53.53,Current State
60,107133,107133,0,107133,0,27,High,2019-01-22T05:28:47,No,58,66.84,0.6684,11,No,14,2.42,37.54,66.84,Current State
61,30305,30305,0,30305,30305,0,Not evaluated,2019-01-20T13:02:23,No,58,64,1.15,11,Yes,14,2.64,36.46,96.11,Current State
62,106462,106462,0,106462,106462,32,High,2019-02-05T09:35:50,No,58,69.84,0.6984,11,Yes,14,2.51,36.78,69.84,Current State
63,37195,37195,0,37195,0,33,High,2019-01-21T14:04:27,No,58,73.41,0.7341,11,Yes,14,2.78,38.04,73.41,Current State
64,85661,85661,0,85661,85661,78,Low,2019-01-21T01:30:11,No,58,64.91,0.6491,11,Yes,14,2.40,34.97,64.91,Current State
65,73058,73058,0,73058,73058,12,High,2019-01-21T14:41:20,No,58,56,0.37,11,Yes,14,2.53,36.54,55.98,Current State
66,63791,0,0,0,0,46,Medium,2019-01-20T23:50:50,No,58,60,0.5435,11,No,14,2.34,37.50,54.35,Current State
67,102812,102812,0,102812,0,88,Low,2019-01-21T09:39:44,No,58,65.46,1.13,11,Yes,14,3.06,36.48,65.46,Current State
68,59958,59958,0,59958,0,92,Low,2019-01-21T10:46:46,No,58,64,0.5872999999999999,11,Yes,14,2.71,35.84,58.73,Current State
69,22740,22740,0,22740,22740,11,High,2019-01-22T08:08:58,No,58,74.74,0.7474,11,Yes,14,2.68,37.68,74.74,Current State
70,113239,113239,0,113239,0,0,Not evaluated,2019-01-19T23:49:30,No,58,63,1.06,11,Yes,14,2.54,36.54,58.39,Current State
71,41025,41025,0,41025,41025,36,Medium,2019-01-21T07:19:24,No,58,51.62,0.61,11,Yes,14,2.62,37.02,51.62,Current State
72,68275,68275,0,68275,0,0,Not evaluated,2019-03-11T10:37:20,No,58,62,0.96,11,Yes,14,2.72,36.29,88.47,Current State
73,86951,86951,0,86951,86951,0,Not evaluated,2019-01-20T03:03:47,No,58,57,0.49,11,Yes,14,2.43,37.36,59.01,Current State
74,87466,87466,0,87466,87466,28,High,2019-01-24T02:03:25,No,58,55.26,0.53,11,Yes,14,2.95,37.39,55.26,Current State
75,21458,21458,0,21458,21458,0,Not evaluated,2019-02-04T03:27:38,No,58,64.55,0.6455,11,Yes,14,2.44,35.39,64.55,Current State
76,92293,92293,0,92293,0,83,Low,2019-01-23T17:29:40,No,58,63,1.08,11,Yes,14,2.66,36.90,79.05,Current State
77,63474,63474,0,63474,63474,0,Not evaluated,2019-01-20T00:33:40,No,58,63,1.09,11,Yes,14,2.53,35.89,64.69,Current State
78,30395,30395,0,30395,0,29,High,2019-01-25T19:32:18,No,58,57.57,0.54,11,No,14,2.54,37.11,57.57,Current State
79,66880,0,0,0,0,91,Low,2019-01-21T11:20:17,No,58,72.81,0.7281,11,No,14,2.29,36.36,72.81,Current State
80,83673,0,83673,0,0,96,Low,,No,58,65,0.8312,11,Yes,14,2.57,37.14,83.12,Current State
81,104262,104262,0,104262,104262,23,High,2019-01-21T11:48:13,No,58,62.52,0.6252,11,No,14,2.48,36.59,62.52,Current State
82,35810,35810,0,35810,0,80,Low,2019-01-21T02:09:33,No,58,63,1.05,11,No,14,2.30,36.71,62.36,Current State
83,75823,75823,0,75823,75823,0,Not evaluated,2019-01-20T11:10:01,Yes,58,79.14,0.7914,11,No,14,2.54,36.98,79.14,Current State
84,72706,72706,0,72706,0,61,Medium,2019-01-21T16:23:20,No,58,61,0.86,11,Yes,14,2.27,36.89,51.23,Current State
85,115031,115031,0,115031,115031,0,Not evaluated,2019-01-20T06:04:21,No,58,62,0.95,11,Yes,14,2.55,35.51,68.09,Current State
86,12171,12171,0,12171,0,86,Low,2019-01-21T12:00:44,No,58,61.64,0.6164000000000001,11,Yes,14,2.60,37.20,61.64,Current State
87,58024,58024,0,58024,0,92,Low,2019-01-21T11:13:58,No,58,64.29,1.17,11,Yes,14,2.40,36.72,64.29,Current State
88,57182,57182,0,57182,57182,0,Not evaluated,2019-02-02T12:52:25,No,58,66.02,1.03,11,Yes,14,2.58,36.60,66.02,Current State
89,54007,54007,0,54007,0,61,Medium,2019-01-21T16:27:45,No,58,61,0.7173,11,Yes,14,2.93,36.35,71.73,Current State
90,31686,31686,0,31686,0,92,Low,2019-01-21T14:02:41,No,58,58.24,0.5824,11,Yes,14,2.61,37.07,58.24,Current State
91,30032,0,30032,0,0,0,Not evaluated,,No,58,56,0.6492,11,Yes,14,2.36,37.44,64.92,Current State
92,113751,113751,0,113751,0,76,Low,2019-01-24T14:41:28,No,58,63,0.6079,11,Yes,14,2.63,36.41,60.79,Current State
93,96187,0,96187,0,0,0,Not evaluated,,No,58,75.21,0.7521,11,No,14,2.56,35.54,75.21,Current State
94,31361,31361,0,31361,0,80,Low,2019-01-21T02:26:33,No,58,55.97,0.5597,11,Yes,14,2.25,37.55,55.97,Current State
95,91996,91996,0,91996,0,43,Medium,2019-01-21T16:53:06,No,58,67.42,0.68,11,Yes,14,3.02,37.71,67.42,Current State
96,12906,0,12906,0,0,0,Not evaluated,,No,58,68.15,0.6815000000000001,11,Yes,14,2.67,36.49,68.15,Current State
97,116117,116117,0,116117,0,100,Low,2019-01-21T11:47:39,No,58,65,1.25,11,Yes,14,2.25,37.17,62.80,Current State
98,97315,97315,0,97315,97315,0,Not evaluated,2019-02-14T05:13:13,Yes,58,64,0.6866,11,Yes,14,2.61,36.57,68.66,Current State
99,70960,70960,0,70960,0,60,Medium,2019-01-29T04:22:34,No,58,60.33,0.6033,11,Yes,14,2.38,36.54,60.33,Current State
100,89082,89082,0,89082,0,89,Low,2019-01-21T13:37:29,No,58,64,0.7857,11,Yes,14,2.81,36.63,78.57,Current State
101,51523,51523,0,51523,51523,18,High,2019-01-22T02:50:52,No,58,58.38,0.43,11,No,14,2.60,37.15,58.38,Current State
102,48383,48383,0,48383,0,59,Medium,2019-01-22T04:44:00,No,58,61,0.6239,11,Yes,14,2.54,37.03,62.39,Current State
103,49709,0,49709,0,0,42,Medium,,No,58,59,0.5665,11,Yes,14,2.11,37.77,56.65,Current State
104,97280,97280,0,97280,0,18,High,2019-01-21T22:13:24,No,58,57,0.43,11,Yes,14,2.57,37.59,67.41,Current State
105,28706,0,28706,0,0,0,Not evaluated,,No,58,70.11,0.68,11,Yes,14,2.54,37.45,70.11,Current State
106,13057,13057,0,13057,0,85,Low,2019-01-23T13:48:05,No,58,62.42,0.6242,11,Yes,14,2.40,37.28,62.42,Current State
107,50410,50410,0,50410,0,100,Low,2019-01-21T14:46:58,No,58,62.47,1.25,11,No,14,2.46,36.89,62.47,Current State
108,100059,100059,0,100059,100059,13,High,2019-01-22T03:28:28,No,58,81.40,0.38,11,No,14,2.70,34.91,81.40,Current State
109,13747,13747,0,13747,0,88,Low,2019-01-21T20:07:38,No,58,64,1.13,11,Yes,14,2.78,34.93,60.58,Current State
110,66358,66358,0,66358,0,52,Medium,2019-01-23T15:59:44,No,58,60,0.77,11,Yes,14,2.73,36.26,64.17,Current State
111,78825,78825,0,78825,78825,0,Not evaluated,2019-01-20T13:20:04,No,58,57.79,0.69,11,No,14,2.25,36.33,57.79,Current State
112,75510,0,75510,0,0,10,High,,No,58,69.92,0.35,11,No,14,2.56,37.06,69.92,Current State
113,89641,89641,0,89641,0,45,Medium,2019-02-03T17:03:43,No,58,60,0.70,11,Yes,14,2.29,35.94,63.63,Current State
114,70114,70114,0,70114,70114,66,Medium,2019-01-23T19:27:30,No,58,51.62,0.91,11,No,14,2.62,35.75,51.62,Current State
115,117158,0,117158,0,0,0,Not evaluated,,No,58,63,1.03,11,Yes,14,2.30,35.18,58.58,Current State
116,78342,78342,0,78342,0,49,Medium,2019-02-05T03:39:56,No,58,60,0.74,11,No,14,2.32,35.52,60.12,Current State
117,104291,104291,0,104291,0,23,High,2019-02-03T14:50:41,No,58,74.96,0.7495999999999999,11,Yes,14,2.25,36.48,74.96,Current State
118,101328,101328,0,101328,0,91,Low,2019-01-26T16:07:07,No,58,64,0.5799,11,Yes,14,2.74,37.39,57.99,Current State
119,102001,102001,0,102001,102001,89,Low,2019-01-22T02:10:16,No,58,70.15,1.14,11,Yes,14,2.25,36.62,70.15,Current State
120,64359,64359,0,64359,0,6,High,2019-01-26T06:43:48,No,58,56,0.31,11,Yes,14,2.60,37.29,57.12,Current State
121,85498,85498,0,85498,0,57,Medium,2019-01-21T23:25:32,No,58,71.38,0.7138,11,Yes,14,2.55,37.18,71.38,Current State
122,36056,36056,0,36056,36056,80,Low,2019-01-21T14:10:42,No,58,68.88,0.6888,11,No,14,2.82,36.72,68.88,Current State
123,119084,119084,0,119084,0,66,Medium,2019-01-25T22:26:56,No,58,62,0.5739,11,Yes,14,2.65,36.35,57.39,Current State
124,101029,0,101029,0,0,0,Not evaluated,,No,58,64,0.6088,11,Yes,14,2.43,36.82,60.88,Current State
125,62142,0,62142,0,0,44,Medium,,No,58,57.96,0.5796,11,Yes,14,2.42,35.40,57.96,Current State
126,28457,0,0,0,0,36,Medium,2019-01-22T03:01:24,No,58,59,0.61,11,Yes,14,2.58,36.76,71.78,Current State
127,77662,0,0,0,0,0,Not evaluated,2019-02-19T18:09:38,No,58,63.58,0.35,11,Yes,14,2.55,36.57,63.58,Current State
128,71198,71198,0,71198,0,86,Low,2019-01-22T01:21:47,No,58,64,0.6325,11,Yes,14,2.56,37.33,63.25,Current State
129,66408,66408,0,66408,66408,0,Not evaluated,2019-01-26T03:53:48,No,58,64.01,0.6401,11,Yes,14,2.69,36.48,64.01,Current State
130,55588,55588,0,55588,0,59,Medium,2019-01-24T13:24:37,No,58,61,0.7614,11,Yes,14,2.46,35.75,76.14,Current State
131,116742,116742,0,116742,116742,44,Medium,2019-01-22T02:50:24,No,58,67.66,0.6766,11,No,14,2.58,37.83,67.66,Current State
132,83570,83570,0,83570,0,30,High,2019-01-24T21:22:02,No,58,57.77,0.55,11,Yes,14,2.71,37.64,57.77,Current State
133,65886,65886,0,65886,0,88,Low,2019-01-22T05:54:34,No,58,66.54,0.6654000000000001,11,Yes,14,2.31,37.18,66.54,Current State
134,54783,54783,0,54783,54783,98,Low,2019-01-21T21:08:56,No,58,51.58,0.5158,11,Yes,14,2.22,37.53,51.58,Current State
135,86587,86587,0,86587,0,18,High,2019-01-22T06:11:04,No,58,58.02,0.5802,11,No,14,2.77,35.53,58.02,Current State
136,93839,93839,0,93839,93839,12,High,2019-02-06T22:10:27,No,58,58.07,0.37,11,Yes,14,2.55,38.44,58.07,Current State
137,69543,0,0,0,0,30,High,2019-01-22T06:37:28,No,58,62.78,0.6278,11,Yes,14,2.47,36.24,62.78,Current State
138,12191,12191,0,12191,12191,91,Low,2019-01-21T18:30:02,No,58,58.95,0.5895,11,Yes,14,2.46,36.82,58.95,Current State
139,109871,0,0,0,0,24,High,2019-01-27T18:09:21,No,58,57.10,0.49,11,Yes,14,2.77,36.16,57.10,Current State
140,68396,68396,0,68396,0,8,High,2019-02-06T15:47:26,No,58,75.45,0.33,11,No,14,2.48,38.37,75.45,Current State
141,67093,67093,0,67093,0,40,Medium,2019-02-05T22:31:54,No,58,62.38,0.6238,11,Yes,14,2.45,36.60,62.38,Current State
142,55230,55230,0,55230,0,85,Low,2019-01-22T02:52:43,No,58,64,0.6098,11,Yes,14,2.73,36.75,60.98,Current State
143,65211,65211,0,65211,65211,71,Medium,2019-01-21T20:38:24,No,58,57.99,0.96,11,Yes,14,2.45,37.25,57.99,Current State
144,54455,54455,0,54455,54455,25,High,2019-01-21T22:47:59,No,58,55.44,0.50,11,No,14,2.47,37.60,55.44,Current State
145,46709,46709,0,46709,46709,0,Not evaluated,2019-01-21T03:24:27,No,58,70.97,0.7097,11,Yes,14,2.94,37.41,70.97,Current State
146,55682,55682,0,55682,0,100,Low,2019-01-24T17:56:46,No,58,65,0.675,11,Yes,14,2.48,37.33,67.50,Current State
147,75002,75002,0,75002,0,81,Low,2019-01-24T10:35:21,No,58,63,0.7920999999999999,11,No,14,2.42,36.69,79.21,Current State
148,30043,30043,0,30043,30043,21,High,2019-02-11T05:31:08,No,58,67.95,0.46,11,No,14,2.90,36.18,67.95,Current State
149,58392,0,58392,0,0,17,High,,No,58,56.71,0.5671,11,Yes,14,2.95,36.00,56.71,Current State
150,83259,83259,0,83259,83259,35,Medium,2019-01-22T10:51:22,No,58,58.15,0.60,11,No,14,2.15,32.93,58.15,Current State
151,30563,30563,0,30563,0,41,Medium,2019-02-04T13:46:14,No,58,58.71,0.5871,11,Yes,14,2.70,37.35,58.71,Current State
152,32793,32793,0,32793,32793,73,Medium,2019-01-22T10:30:44,No,58,59.93,0.98,11,No,14,2.83,37.19,59.93,Current State
153,93829,93829,0,93829,0,80,Low,2019-01-22T03:22:00,No,58,63,1.05,11,Yes,14,2.52,36.43,69.03,Current State
154,16574,16574,0,16574,16574,55,Medium,2019-01-22T16:13:37,Yes,58,64.77,0.6476999999999999,11,Yes,14,2.22,37.93,64.77,Current State
155,97099,97099,0,97099,0,47,Medium,2019-02-05T04:47:01,No,58,63.88,0.6388,11,No,14,2.53,35.42,63.88,Current State
156,24580,24580,0,24580,0,59,Medium,2019-01-22T06:20:37,No,58,61.49,0.84,11,Yes,14,2.29,35.00,61.49,Current State
157,25329,25329,0,25329,25329,49,Medium,2019-01-29T21:59:25,No,58,57.92,0.5792,11,No,14,2.52,36.58,57.92,Current State
158,84423,84423,0,84423,84423,78,Low,2019-01-22T08:57:30,No,58,64.35,0.6435,11,Yes,14,2.76,36.44,64.35,Current State
159,38113,0,0,0,0,43,Medium,2019-01-21T23:46:46,No,58,59,0.68,11,No,14,2.81,35.42,63.42,Current State
160,86501,86501,0,86501,86501,16,High,2019-01-23T10:06:04,Yes,58,57,0.41,11,Yes,14,2.09,37.41,59.84,Current State
161,111900,111900,0,111900,0,95,Low,2019-01-22T07:39:28,No,58,65,0.7501000000000001,11,Yes,14,2.52,36.85,75.01,Current State
162,57699,0,0,0,0,90,Low,2019-01-22T08:42:01,No,58,64,1.15,11,Yes,14,2.60,37.49,61.10,Current State
163,119331,119331,0,119331,119331,20,High,2019-01-22T20:23:52,No,58,57.23,0.5722999999999999,11,Yes,14,2.78,34.34,57.23,Current State
164,103142,103142,0,103142,0,74,Medium,2019-02-05T15:02:43,No,58,64.83,0.6483,11,Yes,14,2.49,37.65,64.83,Current State
165,111611,0,111611,0,0,0,Not evaluated,,No,58,59.97,0.5997,11,Yes,14,2.71,36.06,59.97,Current State
166,55984,0,55984,0,0,0,Not evaluated,,No,58,52.35,0.5235,11,Yes,14,2.48,37.45,52.35,Current State
167,11828,0,0,0,0,0,Not evaluated,2019-01-21T03:34:38,No,58,57.28,1.00,11,Yes,14,2.51,36.56,57.28,Current State
168,82740,82740,0,82740,0,82,Low,2019-01-22T12:26:00,No,58,58.25,1.07,11,No,14,2.33,38.39,58.25,Current State
169,34789,34789,0,34789,0,45,Medium,2019-01-22T19:12:14,No,58,60.02,0.70,11,Yes,14,2.61,35.68,60.02,Current State
170,102760,102760,0,102760,0,86,Low,2019-01-22T11:54:28,No,58,62.89,1.11,11,No,14,2.59,35.56,62.89,Current State
171,28763,0,28763,0,0,0,Not evaluated,,No,58,56,0.6613,11,Yes,14,2.75,36.83,66.13,Current State
172,18334,18334,0,18334,18334,30,High,2019-01-22T23:15:24,No,58,58,0.55,11,Yes,14,2.32,35.29,64.42,Current State
173,119003,119003,0,119003,119003,0,Not evaluated,2019-01-28T07:32:29,No,58,57,0.6312,11,No,14,2.24,36.76,63.12,Current State
174,57210,57210,0,57210,57210,65,Medium,2019-01-27T14:07:57,No,58,78.13,0.90,11,Yes,14,2.42,35.45,78.13,Current State
175,66907,0,0,0,0,31,High,2019-01-25T00:54:50,No,58,58,0.6784,11,No,14,2.53,36.48,67.84,Current State
176,59953,59953,0,59953,59953,51,Medium,2019-01-25T11:10:39,No,58,53.74,0.76,11,No,14,2.44,37.63,53.74,Current State
177,52721,52721,0,52721,0,88,Low,2019-01-22T18:50:10,No,58,57.29,0.5729,11,No,14,2.59,36.87,57.29,Current State
178,110803,110803,0,110803,110803,96,Low,2019-01-25T00:03:02,No,58,60.31,0.6031,11,No,14,2.31,35.37,60.31,Current State
179,17231,17231,0,17231,0,0,Not evaluated,2019-01-26T15:39:57,No,58,63,1.05,11,Yes,14,2.36,36.69,80.38,Current State
180,85859,85859,0,85859,85859,0,Not evaluated,2019-01-21T10:32:38,Yes,58,64,1.12,11,Yes,14,2.26,36.26,67.13,Current State
181,20917,20917,0,20917,20917,10,High,2019-01-22T22:01:47,No,58,56,0.6191,11,No,14,2.28,35.95,61.91,Current State
182,102283,102283,0,102283,102283,0,Not evaluated,2019-01-21T06:53:28,Yes,58,64,0.5851,11,No,14,2.48,36.82,58.51,Current State
183,38437,38437,0,38437,38437,91,Low,2019-01-22T19:36:03,No,58,79.61,0.7961,11,Yes,14,2.58,37.32,79.61,Current State
184,27274,0,0,0,0,0,Not evaluated,2019-01-25T06:49:52,No,58,64,1.10,11,Yes,14,2.52,36.66,65.83,Current State
185,62185,62185,0,62185,0,52,Medium,2019-01-25T05:44:42,No,58,60,0.77,11,No,14,2.65,36.68,57.68,Current State
186,60612,0,60612,0,0,0,Not evaluated,,No,58,71.55,0.60,11,No,14,2.70,37.60,71.55,Current State
187,65399,0,0,0,0,19,High,2019-01-26T00:09:44,No,58,60.08,0.44,11,No,14,2.32,37.70,60.08,Current State
188,47765,47765,0,47765,0,82,Low,2019-01-22T12:46:16,No,58,63,1.07,11,Yes,14,2.45,35.94,65.04,Current State
189,95621,95621,0,95621,0,62,Medium,2019-01-25T04:04:38,No,58,53.07,0.5307,11,Yes,14,2.48,35.80,53.07,Current State
190,39470,39470,0,39470,39470,33,High,2019-01-23T08:24:21,No,58,84.85,0.8484999999999999,11,No,14,2.45,36.92,84.85,Current State
191,76723,76723,0,76723,0,50,Medium,2019-01-28T00:29:28,No,58,60,0.75,11,Yes,14,2.68,35.63,56.14,Current State
192,111033,111033,0,111033,111033,0,Not evaluated,2019-01-21T19:28:10,Yes,58,62,0.6017,11,Yes,14,2.54,36.65,60.17,Current State
193,52332,52332,0,52332,0,81,Low,2019-01-23T05:12:22,No,58,59.78,0.5978,11,No,14,2.28,37.67,59.78,Current State
194,10335,0,0,0,0,78,Low,2019-01-23T03:19:00,No,58,63.10,0.631,11,Yes,14,2.37,36.11,63.10,Current State
195,47802,47802,0,47802,0,80,Low,2019-01-25T05:26:45,No,58,66.46,0.6646,11,Yes,14,2.79,37.38,66.46,Current State
196,50560,50560,0,50560,50560,28,High,2019-01-27T09:27:58,No,58,58,0.53,11,Yes,14,2.52,35.88,64.30,Current State
197,109980,109980,0,109980,0,64,Medium,2019-01-23T08:36:36,No,58,64.56,0.89,11,No,14,2.76,36.72,64.56,Current State
198,75151,75151,0,75151,75151,80,Low,2019-01-23T01:32:30,No,58,63,0.6291,11,Yes,14,2.55,37.79,62.91,Current State
199,19843,0,19843,0,0,0,Not evaluated,,No,58,61,0.5571,11,Yes,14,2.60,36.01,55.71,Current State
200,35087,35087,0,35087,0,58,Medium,2019-01-23T04:46:37,No,58,57.85,0.83,11,No,14,2.10,36.91,57.85,Current State
